#1s	10s
4	17
1	18
4	20
2	31
3	19
1	25
1	23
3	18
2	19
2	25
2	18
2	11
5	18
2	19
5	21
3	32
4	20
2	26
2	24
4	19
3	20
3	26
3	19
3	12
6	19
3	20
6	22
4	33
5	21
3	27
3	25
5	20
4	21
4	27
4	20
4	13
2	11
5	18
2	19
5	21
3	32
4	20
2	26
2	24
4	19
3	20
3	26
3	19
3	12
6	19
3	20
6	22
4	33
5	21
3	27
3	25
5	20
4	21
4	27
4	20
4	13
7	20
4	21
2	11
5	18
2	19
5	21
3	32
4	20
2	26
2	24
4	19
3	20
3	26
3	19
3	12
6	19
3	20
6	22
4	33
5	21
3	27
3	25
5	20
4	21
4	27
4	20
4	13
7	20
4	21
7	23
5	34
6	22
4	28
2	11
5	18
2	19
5	21
3	32
4	20
